authorID,rank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
1666292634,15283,Wolfgang Aigner,121,2211,46,164,1453,18,
1793363511,16309,Ryosuke Saga,93,179,24,676,44,3,
193994343,14273,Silvia Miksch,266,5291,71,68,1996,21,
210866836,15333,Ian T. Nabney,102,1875,26,552,274,6,
2112168521,15074,Satoyuki Kawano,321,1038,20,968,39,3,
2143783256,14291,Katy BÃ¶rner,242,6035,62,92,1243,17,
2154284134,14917,Masahide Murakami,221,1164,22,804,96,6,
37293949,15405,Haim Levkowitz,76,1514,25,593,880,8,
2124610550,16493,LukÃ¡Å¡ Herman,83,121,33,327,77,6,
2304056762,16791,Glauco de Figueiredo Carneiro,55,159,20,909,126,6,
2423497048,15741,Manoel MendonÃ§a,104,1043,26,538,227,8,
1438871885,14496,Heinz Handels,356,3639,25,617,280,10,
2030039896,14236,RÃ¼diger Westermann,180,5683,41,213,733,16,
2057632188,14178,Andreas Rauber,355,4790,27,500,950,14,
2146883810,15564,Motoyuki Itoh,164,583,20,924,66,5,
112613578,14545,Luca Chittaro,191,4754,26,571,905,16,
1992120996,14207,William Ribarsky,186,4642,94,34,1929,25,
2028355016,15903,Ingrid Hotz,108,870,43,185,256,9,
2122423217,13690,Kwan Liu Ma,512,10383,303,1,6096,43,
2122502592,13748,Bernd Hamann,512,7157,188,4,2035,25,
2237445521,14151,Hans Hagen,394,4806,165,5,2447,30,
2424001649,15010,Gunther H. Weber,122,1868,65,83,727,15,
2443936740,14358,Norbert Rahn,422,3443,25,597,392,10,
277778480,13596,John Shalf,236,9171,28,464,421,11,
2088024608,13223,Steve Benford,409,12308,23,692,441,10,
2154968417,14220,Jean Daniel Fekete,205,6911,98,30,3496,29,
216611935,13560,Catherine Plaisant,271,10537,74,61,3864,28,
2570943861,15151,James Ahrens,143,2189,75,60,1350,16,
332866935,16412,BenoÃ®t Otjacques,80,350,30,422,129,6,
403640012,14413,Georges Grinstein,194,3390,91,37,1825,18,
1983982202,14139,Natalia Andrienko,246,7356,80,51,3248,27,
2008344182,16231,Nahum Gershon,67,431,29,433,148,7,
2114505653,15472,Christin Seifert,148,948,24,631,247,8,
237265413,14045,Gennady Andrienko,272,8168,84,49,3299,28,
2789226822,15028,Michael Granitzer,220,1813,25,576,395,11,
154171363,14933,JÃ¼rgen DÃ¶llner,227,2365,86,42,874,17,
192202707,16200,Mikael Jern,58,801,32,348,562,11,
693769535,13819,Steven P. Reiss,177,5180,41,205,958,17,
2132849971,13236,Arie E. Kaufman,436,13348,117,15,2400,25,1
2143122238,17173,Beomjin Kim,45,60,22,806,44,5,
1094438419,16488,Kai Lawonn,78,390,43,187,275,11,
2133398056,14077,Toshio Ando,456,8075,24,653,1052,11,
2149494377,15331,David Gotz,99,2141,38,240,793,14,
2894229052,15714,Zulkepli Majid,179,275,20,941,32,3,
332475898,14224,Bernhard Preim,535,4000,159,7,1906,24,
1881081896,15117,Mohamed Al Hussein,241,1549,22,787,257,7,
2037513264,14799,Karl Heinz HÃ¶hne,63,1742,36,273,1090,19,
2157611257,14321,Chris North,205,5674,105,23,3722,31,
2166027141,15384,Francis M. Dwyer,151,1351,26,543,229,8,
96769270,15336,Andreas Pommert,57,1316,31,385,904,14,
2015235164,15033,Alex Pang,110,2390,59,104,1697,21,
2083449707,13524,Thomas Ertl,617,10241,268,2,4290,37,
2136127216,14026,David S. Ebert,358,6822,119,14,2482,25,
2059917588,14468,Alan Chalmers,322,3881,22,756,138,6,
2120088882,14475,Kenneth I. Joy,247,3773,108,21,1500,20,
2193023912,14888,Niklas Elmqvist,178,3647,91,36,2124,23,
2255233454,17147,Harald Obermaier,37,198,29,446,167,7,
720721530,15045,Robert S. Laramee,164,2853,106,22,2427,23,
2025685111,14218,Daniel Weiskopf,392,6450,223,3,3605,33,
206117854,16457,Jaime Urquiza Fuentes,55,412,20,955,222,7,
2153708411,15521,Hitoshi Asano,174,426,22,803,63,4,
2166341251,13650,Pheng Ann Heng,564,10689,38,239,430,11,
2206139417,15572,J. Ãngel VelÃ¡zquez Iturbide,101,1073,31,368,748,9,
2304186621,14014,Hans Peter Meinzer,387,6604,40,218,866,14,
2091398259,15066,Richard M. Kelso,170,2196,24,629,834,10,
2250804251,14708,Joan Adler,176,2721,26,561,119,7,
2308794863,15119,Aaron Quigley,200,1720,24,663,133,7,
336473884,13710,Peter Eades,218,8616,48,154,2707,15,
1167418905,13217,Marcia C. Linn,345,17817,23,724,866,14,
1975140722,13353,Nadia Magnenat Thalmann,589,10851,32,350,464,11,
2041814779,16824,Elena Masala,57,117,20,971,72,6,
2118134862,12915,Daniel Thalmann,758,16261,34,302,595,11,
2133897809,14030,Sang Joon Lee,569,6821,61,95,901,17,
2150335851,15873,Pere Pau VÃ¡zquez,65,1035,21,823,108,6,
2262403949,15591,Ronald Peikert,53,1727,32,366,1078,17,
2698075467,15471,Hamish Carr,87,1807,27,521,506,10,
2034849075,13428,Thomas A. DeFanti,177,6835,56,120,2857,19,1
2076420186,14887,Sheelagh Carpendale,309,7072,126,31,3208,30,
2123850919,14214,Margaret Anne Storey,192,6509,43,194,1773,20,
2163537161,14083,Jason Leigh,218,3999,81,50,1815,26,
2193668785,14316,Andrew Johnson,207,3182,68,77,1314,22,
2283139614,14718,Mihai Datcu,400,1434,37,262,186,8,
242315540,15248,Andreas Kerren,210,1469,101,27,1004,14,
2762167099,15474,Eduard GrÃ¶ller,197,3036,88,148,1440,22,
2104043266,15243,Tomohiro Kuroda,227,721,21,866,62,5,
2152632774,15474,Irene Cheng,162,1160,23,718,76,4,
2309474351,13791,Hirokazu Kato,232,6415,21,851,206,5,
2030366862,15286,Christopher G. Healey,106,2123,60,101,1690,20,
2123746788,13989,David H. Laidlaw,255,7566,103,26,2962,27,
2158434997,13554,Colin Ware,260,9784,56,119,3940,21,
2251068073,16025,ç¥ä¸€ æ‘äº•,153,9,35,283,0,0,
2579369268,15949,Christoph W. Borst,88,672,25,608,111,7,
327243226,15195,Robert Kosara,82,2400,59,106,1939,23,
544170546,14397,Tamara Munzner,118,5526,57,114,2932,26,
2194545686,14380,Gerald Schaefer,443,4715,39,225,323,9,
2235134787,14694,Hans Christian Hege,286,3538,68,76,1574,21,
2599374169,15681,Mohd Shafry Mohd Rahim,169,688,23,683,60,4,
1400123007,15038,Konstantinos Kontis,260,1922,25,616,297,11,
1429185800,15109,Anders Ynnerman,192,2227,59,103,654,13,
2162237831,14205,Klaus Mueller,275,5534,88,40,1263,20,
2571495213,13120,Min Chen,868,21779,104,25,1953,22,
1235285878,15460,Xavier Tricoche,87,1906,57,116,1109,16,
2087252583,13418,John Stasko,279,12060,123,12,6256,35,
2093104212,13789,Tobias HÃ¶llerer,245,6320,34,303,603,13,
194314948,15852,Gilles Halin,136,379,24,671,119,6,
1949160300,14369,Yassin A. Hassan,479,2804,45,173,590,12,
2030276371,16276,Sylvain Kubicki,93,306,22,786,110,6,
2044057687,14659,Gerik Scheuermann,257,3467,125,11,2220,29,
2056576592,14227,Dimitrios Tzovaras,518,3530,39,232,143,8,
2113582855,15603,Charl P. Botha,123,1015,55,122,540,12,
2151081949,14937,Frits H. Post,123,3051,63,87,2165,23,
2158171975,14183,Harald C. Gall,203,6688,24,645,798,13,
2169356058,15197,Alberto Raposo,221,1046,32,355,151,7,
335874646,14710,Martin Pinzger,121,3893,21,835,747,11,
139560512,14177,Vaclav Snasel,649,4123,22,780,121,6,
170241628,15300,Alfredo Vellido,168,1765,30,400,201,6,
2037917844,15399,Yuzuru Tanaka,162,1042,25,602,108,7,
2113934472,14226,Gregory M. Nielson,109,3650,34,298,666,14,
2289128761,13784,Roberto Scopigno,292,7785,55,123,1452,20,
2027979619,15033,Roberto Tagliaferri,238,2216,20,984,119,4,
618659213,14507,Dieter W. Fellner,380,2583,43,195,350,11,
668764113,11870,Ben Shneiderman,758,49467,104,24,13113,40,1
2005110205,15314,Ken Brodlie,82,1770,45,174,1194,17,
2021322682,13132,Michael Batty,745,18052,20,982,414,10,
2023471731,16409,Lucio Tommaso De Paolis,77,390,22,785,122,5,
2101507671,14499,Cristina Conati,172,4470,26,556,513,11,
155781915,14597,Emilio Corchado,340,3636,48,157,492,10,
2017897688,15761,Daniel Archambault,79,1298,27,529,396,10,
2019835715,16377,Romain Bourqui,66,477,27,530,234,8,
2020036024,15687,Christoph Garth,99,1443,70,71,1159,19,
2032738043,13006,Peter Brusilovsky,504,18064,52,130,582,16,
2098528998,15591,David Auber,66,1645,33,338,701,12,
2110178573,15282,Tudor GÃ®rba,87,2547,21,854,669,11,
2170596006,15782,Ãlvaro Herrero,133,786,30,414,370,9,
2485163583,13797,Oscar Nierstrasz,383,7860,27,518,436,11,
2779206936,15023,Guy MelanÃ§on,101,2853,35,296,1689,10,
117518403,14865,Yasushi Kiyoki,352,878,28,479,22,3,
119326234,14692,Gabriel Wainer,341,2450,26,572,365,8,
1997693460,15521,Jean Hertzberg,114,1355,21,886,155,7,
2142123371,15415,Ross Maciejewski,141,1884,48,151,645,15,
2143063412,15420,Robert J. Moorhead,136,1208,71,70,653,11,
2913216944,14119,Haesun Park,221,7953,20,942,234,7,
2009834041,14652,Cathal Gurrin,322,2568,28,486,165,7,
2108305646,15592,Jaakko Peltonen,108,1291,25,604,588,9,
2132435563,13927,Noel E. OConnor,567,6029,47,162,504,12,
2133129399,15865,Carla M. D. S. Freitas,88,886,46,171,370,13,
2172294716,14836,Xiaopeng Zhang,233,2462,22,768,349,8,
2998626336,20235,W.Q. Chen,2,11,86,41,770,14,
2103920730,11775,Luc Van Gool,1185,63212,46,170,1328,16,
2165267828,12630,Geoffrey C. Fox,940,18599,25,587,279,9,
1916366858,15645,Roberto TherÃ³n,153,1001,50,141,415,11,
2074426352,14010,Ernst Rank,492,5996,29,451,253,7,
2114361001,13394,Helge Ritter,636,9737,22,759,332,10,
2147514866,14078,Chaomei Chen,230,8333,63,86,3641,22,
5114806,14051,Fabio Remondino,261,5987,33,342,1201,15,
572302453,12688,Nassir Navab,1327,23435,144,8,2051,24,
743507883,13594,Michael Gleicher,197,9431,34,320,841,17,
1615293024,13675,Michael Markl,629,12981,34,318,2257,20,
2138458960,14414,Helwig Hauser,195,5698,123,13,4330,38,
2149823972,16088,Rainer Groh,115,324,31,386,80,5,
2157164624,14880,Horst K. Hahn,199,3639,28,474,381,8,
2158780083,15683,Ross Brown,154,720,41,208,305,10,
2085846229,15197,Peter Hastreiter,108,2715,49,145,1275,18,
2146555714,15009,Peter Rodgers,189,2413,31,393,397,11,
2162501131,15575,Gem Stapleton,145,1000,25,584,226,9,
70881205,14169,Christopher Nimsky,346,8946,38,235,1290,13,
2046772540,14496,Enrico Gobbetti,221,3661,49,147,784,15,
2157743775,12883,Hsinchun Chen,829,24466,52,133,1733,20,1
2326079530,13321,Alan F. Smeaton,680,11426,30,424,207,7,
1041509233,16041,Kamran Sedig,94,874,24,678,281,10,
2035737473,15307,Marcelo Gattass,166,1492,26,566,142,8,
2088543067,14560,Luiz Velho,271,3185,20,963,100,5,
100176519,13379,Dieter Schmalstieg,488,11704,88,39,1952,26,
2096807727,15485,Alias Abdul Rahman,184,637,28,492,206,6,
2131835883,14591,Sisi Zlatanova,262,2895,38,242,350,10,
2805783799,15849,Gunther Heidemann,83,984,21,844,209,8,
192858880,13929,Alan M. MacEachren,215,8877,44,184,4622,25,
2113528437,14450,Danyel Fisher,135,5218,47,159,2121,22,
2167724650,14396,Ebroul Izquierdo,474,3065,27,507,117,6,
2204539166,14885,GÃ¼nther Greiner,133,2549,29,447,673,7,
2099365047,15139,Jo Wood,125,2257,39,233,1061,18,
2148268392,13554,Rudolf Kruse,572,10381,22,810,176,6,
2152659900,12982,Jerry L. Prince,651,21697,25,582,738,10,
2289542925,12944,Michael W. Vannier,449,16222,30,417,823,14,
2107935922,14638,Heidrun Schumann,224,3948,100,28,2985,27,
2471229198,14927,Takayuki Itoh,241,1697,109,20,437,9,
2425873571,13478,Clifford A. Pickover,702,11359,22,760,150,8,
2133981417,13995,David A. Yuen,446,9888,32,360,250,9,
2134858009,14276,Barbara Hammer,455,5361,33,330,525,14,
2136258827,14674,Han Wei Shen,209,3925,111,18,1779,25,
2230931838,15384,Lars Linsen,192,1107,77,53,466,12,
2424929565,16124,Jimmy Johansson,63,848,34,312,503,13,
2024561599,15112,Duen Horng Chau,138,2705,28,484,302,9,
2146130473,15382,Jim X. Chen,138,1055,24,658,285,8,
2195876559,16026,Akira Rinoshika,95,854,21,899,27,2,
2198983026,11767,Christos Faloutsos,787,56487,26,559,1800,13,1
2128962052,15671,Matthew Cooper,90,910,27,508,336,11,
2146473740,12715,Dinesh Manocha,797,23481,22,808,301,8,
2158409843,16926,Camilla Forsell,33,360,20,933,293,10,
283251092,13999,Philipp Slusallek,276,6968,23,707,231,9,
700636827,14129,Yuval Shahar,208,5170,24,667,547,15,
125784020,13801,Thomas J. Overbye,312,5723,39,228,491,12,
2056879232,13504,Carl Fredrik Westin,412,16016,21,862,1221,9,
2070382900,15138,JÃ¶rn Kohlhammer,140,2376,52,135,577,12,
2090988392,12148,Ferenc A. Jolesz,696,53807,30,410,3326,18,
2145806822,16296,Maria Beatriz Carmo,92,246,31,392,129,7,
2163697134,16250,Ana Paula Afonso,77,419,31,388,121,7,
2268440790,15888,David Fonseca,124,620,28,458,281,8,
908076792,12180,Ron Kikinis,720,48433,85,45,8559,32,
1994040240,12094,Arthur W. Toga,1274,81496,32,349,1787,15,
2100495616,15534,Jeremy S. Meredith,68,1646,30,407,520,9,
2166896707,15251,Hank Childs,157,1678,99,29,876,14,
2237883256,13561,Ed H. Chi,209,11691,27,509,1328,14,
1898409829,16675,Pablo Ruisoto,63,210,21,884,120,5,
2112764583,14967,Jessie Kennedy,143,2537,43,191,676,13,
2356811210,20922,Robert C. Nelson,1,2,29,429,425,11,
716564155,15270,Eileen Kraemer,89,2881,25,592,365,9,
2013511199,14913,Victoria Interrante,132,2696,44,182,1113,14,
2044770413,12857,Jock D. Mackinlay,131,15477,24,641,5865,13,
2101761023,15553,Nan Cao,116,1578,62,90,959,17,
2103237498,14786,Huamin Qu,231,3606,114,17,2390,26,
2144192189,14891,Jason Dykes,171,2796,76,54,1973,22,
2373764766,16042,Quang Vinh Nguyen,110,530,65,82,383,8,
614907589,12244,Stuart K. Card,175,25366,28,487,7540,18,1
1273432415,15887,E. Wes Bethel,94,775,68,79,466,12,
2682213054,14759,Torsten MÃ¶ller,139,3902,42,201,1799,21,
2006893438,13676,Chandrajit L. Bajaj,390,8879,52,131,1197,17,1
1831214372,15708,Pavel Slavik,131,668,24,668,114,7,
2032128463,15324,Ulf Tiede,69,1314,42,198,1348,20,
2097880949,14773,Zhihan Lv,239,4106,25,598,789,16,
2148286169,14758,Clifford A. Shaffer,198,2544,21,821,357,10,
1245592906,15114,Giuseppe Santucci,183,1680,28,480,294,10,
1916196745,14937,Ian D. Bishop,148,3154,33,322,599,14,
2017665327,15846,Jens Volkert,118,563,28,483,139,6,
2321599603,15272,Dieter KranzlmÃ¼ller,204,1214,27,520,172,7,
384813227,15919,T. J. Jankun Kelly,50,1083,28,489,822,14,
2153352774,15370,Beatriz Sousa Santos,194,1220,58,110,303,7,
2165096182,16148,Joaquim Madeira,61,682,21,827,195,6,
1672749942,15156,Tobias Isenberg,166,2498,73,64,1108,20,
2080617136,14423,Alexandru Telea,334,4419,135,9,2051,26,
2120678171,14400,Joaquim A. Jorge,315,3986,27,498,278,8,
2169279047,15116,Dirk Bartz,151,1829,22,801,221,9,
1907387910,14851,Frank Steinicke,243,2411,22,788,249,9,
1983980497,12045,Klaus Schulten,929,91377,26,567,25605,15,
2097407591,13976,Olaf Kolditz,447,6001,20,977,262,8,
2102717697,16262,Francis T. Marchese,63,473,21,875,126,6,
2149490020,14637,Klaus Hinrichs,186,2691,35,284,433,11,
2121150543,14126,Li Shen,431,8246,20,980,65,4,
2149922296,14677,Wen Jei Yang,287,1794,71,69,123,6,
2017222965,11435,Ian Foster,813,70237,26,563,1071,16,1
2166292476,14587,Falk Schreiber,203,4963,54,126,1276,15,
285281174,17207,Dirk Zeckzer,39,120,26,574,89,5,
2100138734,15931,Ruiz Estrada,153,69,26,555,13,2,
2154410805,15605,R. Daniel Bergeron,59,922,24,649,385,10,
2436183587,13310,Ajit P. Yoganathan,736,16568,37,266,1224,19,
1166170919,15171,Daniel Catchpoole,145,2870,20,991,40,4,
2018720715,16053,AndrÃ© Skupin,46,1140,20,981,620,11,
2114031719,14767,James J. Thomas,79,3260,33,336,1551,18,
2163374114,15091,Pak Chung Wong,101,2413,54,125,959,16,
735013031,14837,Simeon J. Simoff,282,2011,48,153,270,9,
2017812127,14642,Agma J. M. Traina,325,3160,23,739,117,7,
1874963680,14077,Shigeru Obayashi,382,4528,24,670,321,7,
2055047545,14307,Wilhelm Hasselbring,475,3511,26,554,203,7,
727340923,14649,Thomas Strothotte,175,2945,20,917,160,6,
2032593886,16077,Naohisa Sakamoto,105,322,48,155,108,4,
2171310226,13078,Jie Tian,1235,17655,25,620,216,8,
2211407898,13996,Mo Samimy,298,7380,38,236,2044,21,
2774985988,14364,Predrag Stojan Hrnjak,309,2843,21,902,133,4,
322212130,15170,Koji Koyamada,205,949,76,56,251,9,
2052808332,15908,Peter Bak,75,1013,33,335,686,13,
2138839063,14677,Zhigeng Pan,293,2332,25,588,107,6,
2147343253,13047,Daniel A. Keim,576,20007,215,6,6853,39,
2193108720,14164,Christopher R. Johnson,268,5879,95,33,2393,23,
391330844,13922,Paolo Cignoni,182,7982,41,206,1307,17,
50251746,14974,Roger Crawfis,111,2022,27,531,410,8,
2007505320,12391,Max A. Viergever,795,38953,42,199,1065,17,
220305330,14549,Martin J. Eppler,317,4298,63,88,888,13,
2205287187,12967,Wiro J. Niessen,615,20795,27,514,761,13,
292280582,15391,Timo Ropinski,163,1505,62,93,755,14,
1569396467,14851,Pourang Irani,194,3082,32,351,545,12,
1984838606,11856,Li Fei Fei,366,68242,29,435,3523,24,
2030906650,13476,Jannick P. Rolland,542,9340,57,115,1185,17,
2103155697,14372,Jianping Fan,296,5164,44,177,1078,16,
2110271688,15982,Hangzai Luo,55,1183,22,758,503,11,
2129763075,13290,Richard A. Robb,430,9931,58,111,1355,15,
2152796385,15604,Anand P. Santhanam,132,784,23,719,198,9,
2777031776,16021,Felix G. Hamza Lup,101,492,20,906,187,7,
2103580512,16592,Lane Harrison,48,516,29,452,336,10,
2275486400,16288,Aidong Lu,71,658,38,238,342,10,
2952759238,16842,Mike Sips,22,443,20,914,466,13,
1993881951,15830,Filip Sadlo,98,1125,52,132,389,11,
2072553995,15694,Rahul C. Basole,96,1785,30,413,336,9,
2122159418,14542,Martin Rumpf,221,3967,32,356,765,15,
2460039973,15244,Fotis Liarokapis,137,1801,20,911,263,6,
999226360,14691,Leila De Floriani,223,2774,23,745,504,6,
2049612993,16038,Ching Kuang Shene,79,622,35,295,314,9,
2104903838,15582,Hongfeng Yu,97,1419,40,215,814,16,
2160611799,15510,Rong Fung Huang,123,1484,59,107,636,14,
141417644,16158,æ²»éƒŽ èˆŸæœ¨,135,2,21,880,0,0,
1981749074,15772,M.E. Groller,41,1684,24,673,636,13,
2009043698,15216,Anna Vilanova,174,2278,69,72,924,17,
2017298756,15516,Lloyd A. Treinish,73,1002,34,314,839,14,
2110665805,16058,å‹å“‰ å¹³ç”°,149,4,20,966,0,0,
2208814380,15649,Chaoli Wang,104,1390,62,94,701,14,
2604965107,17009,Ying Zhao,43,255,30,419,195,9,
2050675000,14114,Gudrun Klinker,255,4050,28,493,478,12,
2069749540,13073,Mark Billinghurst,557,15404,42,197,1282,14,
2113072124,15158,Masashi Toyoda,188,2266,23,694,144,8,
2187434097,16325,Jason Wood,29,631,23,698,583,11,
229365224,14670,Erkki Sutinen,242,2685,29,444,533,10,
1989461925,15367,Alexei Sourin,138,1426,33,324,398,11,
2118059029,15271,Nigel W. John,135,1732,33,337,285,10,
2150898947,15171,Jonathan C. Roberts,160,2156,76,55,1463,17,
2189376613,13921,Nelson Max,175,4259,31,367,820,12,
2465679776,16232,Remo Burkhard,51,677,26,540,336,9,
1975749114,15137,Falko Kuester,174,1538,50,142,480,12,
2010936615,15322,Gopalan Jagadeesh,196,1179,23,733,264,9,
2120354901,15374,Jinman Kim,172,1671,26,549,111,5,
2158935544,14885,Jarke J. van Wijk,115,4511,118,78,4947,37,
273213970,15766,Masood Masoodian,130,701,34,321,149,7,
1971971201,15429,Christian Tominski,69,2324,47,163,2114,20,
2100348147,14084,Julio Soria,461,5256,30,406,984,15,
2153815270,14593,Anup Basu,268,2796,28,471,67,4,
2167821236,15253,Maxine D. Brown,58,1167,26,544,839,14,
275330042,14637,Gordon Kindlmann,97,4991,32,353,1405,19,
37046778,15182,Yarden Livnat,47,1705,22,750,916,11,
566355492,14775,Bernice E. Rogowitz,119,2959,21,841,749,11,
